component,S1,S2,S3,S4
API,0.0,0.08333333333333333,0.9166666666666666,0.0
API Key,0.0,0.0,1.0,0.0
API: DOM,0.0,0.0,1.0,0.0
API: IndexedDB,0.0,0.0,1.0,0.0
API: Web Workers,0.0,0.0,1.0,0.0
AWFY,0.0,0.0,1.0,0.0
AWSY,0.08333333333333333,0.0,0.8333333333333334,0.08333333333333333
Accessibility Tools,0.02127659574468085,0.06382978723404255,0.7872340425531915,0.1276595744680851
Account Help,0.0,0.0,1.0,0.0
Account Manager,0.1267605633802817,0.14084507042253522,0.5211267605633803,0.2112676056338028
Accounts and Sync,0.023809523809523808,0.2857142857142857,0.5714285714285714,0.11904761904761904
Activity Stream,0.0,0.0,1.0,0.0
Activity Streams: General,0.0,0.0,1.0,0.0
Add-Ons: Extensions API,0.015151515151515152,0.030303030303030304,0.48484848484848486,0.4696969696969697
Add-Ons: General,0.14285714285714285,0.0,0.6666666666666666,0.19047619047619047
Add-on Manager,0.0,0.0,1.0,0.0
Add-on Validation,0.0,0.0,1.0,0.0
Add-ons Manager,0.0136986301369863,0.05821917808219178,0.7534246575342466,0.17465753424657535
Address Bar,0.006617038875103391,0.09181141439205956,0.7088502894954508,0.19272125723738626
Address Book,0.016129032258064516,0.0967741935483871,0.532258064516129,0.3548387096774194
Administration,0.03278688524590164,0.01639344262295082,0.9508196721311475,0.0
Agent,0.007407407407407408,0.007407407407407408,0.837037037037037,0.14814814814814814
Alarms,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
Alerts Service,0.0,0.0,0.875,0.125
Analytics,0.0,0.0,1.0,0.0
Android,0.045454545454545456,0.0,0.7272727272727273,0.22727272727272727
Android Studio and Gradle Integration,0.015151515151515152,0.06060606060606061,0.8181818181818182,0.10606060606060606
Android Sync,0.0,0.0,1.0,0.0
Antenna,0.0,0.0,1.0,0.0
App Bar,0.0,0.0,1.0,0.0
App Links,0.0,0.5625,0.4375,0.0
Application Panel,0.0,0.0,1.0,0.0
Application Update,0.018072289156626505,0.1144578313253012,0.6746987951807228,0.1927710843373494
Applications: Balrog (backend),0.0,0.0,1.0,0.0
Applications: Balrog (frontend),0.0,0.0,1.0,0.0
Applications: Mapper,0.0,0.0,1.0,0.0
Applications: MozharnessCore,0.0,0.0,0.7142857142857143,0.2857142857142857
Applications: Shipit,0.125,0.25,0.625,0.0
AppsInTheCloud,0.0,0.0,1.0,0.0
Async Tooling,0.0,0.0,0.8125,0.1875
Attachments,0.0,0.3333333333333333,0.6666666666666666,0.0
Attachments & Requests,1.0,0.0,0.0,0.0
Audio/Video,0.04289544235924933,0.05361930294906166,0.7211796246648794,0.18230563002680966
Audio/Video: GMP,0.015384615384615385,0.27692307692307694,0.6461538461538462,0.06153846153846154
Audio/Video: MediaStreamGraph,0.024390243902439025,0.0975609756097561,0.7073170731707317,0.17073170731707318
Audio/Video: Playback,0.042997542997543,0.10687960687960688,0.7113022113022113,0.13882063882063883
Audio/Video: Recording,0.08571428571428572,0.05714285714285714,0.7428571428571429,0.11428571428571428
Audio/Video: Web Codecs,0.0,0.03125,0.4270833333333333,0.5416666666666666
Audio/Video: cubeb,0.04861111111111111,0.18055555555555555,0.6527777777777778,0.11805555555555555
AutoConfig (Mission Control Desktop),0.0,0.0,0.8,0.2
Autocomplete,0.034482758620689655,0.034482758620689655,0.8620689655172413,0.06896551724137931
Autofill,0.0,0.3076923076923077,0.5384615384615384,0.15384615384615385
Autophone,0.0,0.0,1.0,0.0
Awesomescreen,0.0,0.0,1.0,0.0
BI: Tableau Administration,0.0,0.0,1.0,0.0
Backend,0.12080536912751678,0.0738255033557047,0.7449664429530202,0.06040268456375839
Background Tasks,0.0,0.35714285714285715,0.35714285714285715,0.2857142857142857
Bedrock,0.0,0.0,1.0,0.0
Blocklist Implementation,0.0,0.125,0.8125,0.0625
Blocklist Policy Requests,0.0,0.0,1.0,0.0
Blogs,0.0,0.0,1.0,0.0
Bluetooth,0.0,0.0,1.0,0.0
Bookmarks,0.0,0.21052631578947367,0.5964912280701754,0.19298245614035087
Bookmarks & History,0.034013605442176874,0.05782312925170068,0.7380952380952381,0.17006802721088435
Bootstrap Configuration,0.0,0.01639344262295082,0.6885245901639344,0.29508196721311475
Browser,0.0,0.0,1.0,0.0
Browser Engine,0.022727272727272728,0.45454545454545453,0.45454545454545453,0.06818181818181818
Bug Creation/Editing,0.038461538461538464,0.038461538461538464,0.9230769230769231,0.0
Bugherder,0.0,0.0,1.0,0.0
Bugzilla-General,0.1,0.13333333333333333,0.7,0.06666666666666667
Build,0.0,0.0,0.7666666666666667,0.23333333333333334
Build & Test,0.0,0.0,0.8571428571428571,0.14285714285714285
Build Config,0.09375,0.08854166666666667,0.6354166666666666,0.18229166666666666
Build Documentation,0.0,0.5,0.0,0.5
Bulk Bug Edit Requests,0.0,0.0,1.0,0.0
CA Certificate Compliance,0.0,0.0,1.0,0.0
CA Certificate Root Program,0.0,0.0,1.0,0.0
CA Certificates Code,0.0,0.0,0.42857142857142855,0.5714285714285714
CCK-General,0.0,0.0,1.0,0.0
CCK-Installation,0.0,0.3333333333333333,0.6666666666666666,0.0
CCK-Wizard,0.0,0.25,0.75,0.0
CDP,0.0,0.007633587786259542,0.9083969465648855,0.08396946564885496
CI Configuration,0.0,0.0,0.0,1.0
CIDuty,0.0380952380952381,0.0,0.9619047619047619,0.0
CPPUnitTest,0.0,0.0,1.0,0.0
CSS,0.0,0.0,1.0,0.0
CSS Parsing and Computation,0.010256410256410256,0.028205128205128206,0.8811965811965812,0.08034188034188035
CSS Transitions and Animations,0.0,0.05194805194805195,0.8961038961038961,0.05194805194805195
Calendar Frontend,0.0,0.08,0.64,0.28
