op_sys,S1,S2,S3,S4
AIX,0.375,0.125,0.5,0.0
All,0.03433856051467632,0.08524326497788501,0.8061117812625653,0.07430639324487334
Android,0.022243107769423558,0.2149122807017544,0.5924185463659147,0.17042606516290726
BeOS,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0
FreeBSD,0.08333333333333333,0.041666666666666664,0.875,0.0
Gonk (Firefox OS),0.041811846689895474,0.03484320557491289,0.9233449477351916,0.0
HP-UX,0.0,0.25,0.75,0.0
IRIX,0.0,0.0,1.0,0.0
Linux,0.09566227730441518,0.1444616576297444,0.6766072811773819,0.08326878388845856
Mac System 8.0,0.0,0.0,1.0,0.0
Mac System 8.5,0.11764705882352941,0.058823529411764705,0.8,0.023529411764705882
Mac System 8.6,0.20689655172413793,0.13793103448275862,0.5862068965517241,0.06896551724137931
Mac System 9.x,0.25,0.125,0.5,0.125
Maemo,0.0,0.2222222222222222,0.7777777777777778,0.0
OS/2,0.0,0.5,0.5,0.0
OpenBSD,0.0,0.125,0.59375,0.28125
OpenVMS,0.0,0.0,1.0,0.0
Other,0.049689440993788817,0.08695652173913043,0.8633540372670807,0.0
Solaris,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.0
SunOS,0.0,0.0,1.0,0.0
Unspecified,0.010013654984069186,0.06428552303943881,0.7540228654046962,0.17167795657179577
Windows,0.03634957463263728,0.19102861562258314,0.6705336426914154,0.10208816705336426
Windows 10,0.07042253521126761,0.2777777777777778,0.5625978090766823,0.0892018779342723
Windows 11,0.018867924528301886,0.32075471698113206,0.5547169811320755,0.10566037735849057
Windows 2000,0.12658227848101267,0.10126582278481013,0.7341772151898734,0.0379746835443038
Windows 7,0.09778597785977859,0.13468634686346864,0.7490774907749077,0.01845018450184502
Windows 8,0.19607843137254902,0.058823529411764705,0.7450980392156863,0.0
Windows 8.1,0.014084507042253521,0.02112676056338028,0.9647887323943662,0.0
Windows 95,0.12631578947368421,0.11578947368421053,0.7052631578947368,0.05263157894736842
Windows 98,0.112,0.12,0.76,0.008
Windows CE,0.0,0.0,0.5,0.5
Windows ME,0.0,0.3333333333333333,0.6666666666666666,0.0
Windows NT,0.16853932584269662,0.11235955056179775,0.7078651685393258,0.011235955056179775
Windows Server 2003,0.25,0.25,0.5,0.0
Windows Server 2008,0.0,1.0,0.0,0.0
Windows Vista,0.021739130434782608,0.10869565217391304,0.8478260869565217,0.021739130434782608
Windows XP,0.09385113268608414,0.0970873786407767,0.7766990291262136,0.032362459546925564
iOS,0.0,0.0,0.8918918918918919,0.10810810810810811
macOS,0.052823315118397086,0.122040072859745,0.7656344869459624,0.05950212507589557
