platform,S1,S2,S3,S4
ARM,0.03875968992248062,0.13953488372093023,0.7887596899224806,0.03294573643410853
ARM64,0.05392156862745098,0.1715686274509804,0.6813725490196079,0.09313725490196079
All,0.029961389961389962,0.08463320463320463,0.8007722007722008,0.08463320463320463
DEC,0.5,0.0,0.5,0.0
Desktop,0.015457491897282473,0.24108701072051858,0.5868860633258539,0.15656943405634505
HP,0.1,0.3,0.6,0.0
Other,0.04819277108433735,0.10441767068273092,0.714859437751004,0.13253012048192772
PowerPC,0.13612565445026178,0.1099476439790576,0.7277486910994765,0.02617801047120419
RISCV64,0.0,0.0,0.625,0.375
SGI,0.0,0.0,1.0,0.0
Sun,0.13043478260869565,0.08695652173913043,0.782608695652174,0.0
Unspecified,0.014289717007565145,0.07302784074989174,0.7470643674061999,0.16561807483634325
x86,0.10786360473208072,0.08942240779401531,0.778705636743215,0.024008350730688934
x86_64,0.09051537462104807,0.1346903421394543,0.7102641836292768,0.06453009961022088
