product,S1,S2,S3,S4
Add-on SDK Graveyard,0.0,0.0,1.0,0.0
Application Services,0.0,0.3076923076923077,0.6923076923076923,0.0
B2GDroid Graveyard,0.0,0.0,1.0,0.0
Bugzilla,0.078125,0.078125,0.796875,0.046875
CA Program,0.0,0.0,1.0,0.0
CCK Graveyard,0.0,0.2222222222222222,0.7777777777777778,0.0
Calendar,0.0472972972972973,0.0945945945945946,0.6824324324324325,0.17567567567567569
Camino Graveyard,0.0,0.25,0.75,0.0
Chat Core,0.06896551724137931,0.034482758620689655,0.8620689655172413,0.034482758620689655
Cloud Services,0.027624309392265192,0.0055248618784530384,0.9668508287292817,0.0
Cloud Services Graveyard,0.0,0.0,1.0,0.0
Community Building,0.0,0.0,1.0,0.0
Conduit,0.016129032258064516,0.06451612903225806,0.9032258064516129,0.016129032258064516
Conduit Graveyard,0.0,0.0,1.0,0.0
Content Services Graveyard,0.0,0.0,1.0,0.0
Core,0.03434692467173462,0.08908085694540428,0.7580856945404285,0.11848652384243262
Core Graveyard,0.1201923076923077,0.08413461538461539,0.78125,0.014423076923076924
Crash Pings,0.0,0.0,0.0,1.0
Data & BI Services Team,0.0,0.0,1.0,0.0
Data Platform and Tools,0.0033222591362126247,0.013289036544850499,0.9501661129568106,0.03322259136212625
Data Platform and Tools Graveyard,0.0,0.0,1.0,0.0
Data Science,0.0,0.030303030303030304,0.9696969696969697,0.0
DevTools,0.0022132054592401327,0.010697159719660641,0.8697897454813722,0.11729988933972704
DevTools Graveyard,0.0,0.0,0.9761904761904762,0.023809523809523808
Developer Documentation Graveyard,0.0,0.0,1.0,0.0
Developer Infrastructure,0.0,0.03594771241830065,0.7156862745098039,0.24836601307189543
Developer Services,0.013513513513513514,0.0,0.9864864864864865,0.0
Directory Graveyard,0.0,0.0,1.0,0.0
Documentation Graveyard,0.0,0.0,1.0,0.0
Eliot,0.0,0.0,1.0,0.0
External Software Affecting Firefox,0.13333333333333333,0.31666666666666665,0.5333333333333333,0.016666666666666666
External Software Affecting Firefox Graveyard,0.0,0.0,1.0,0.0
Firefox,0.009473792606322726,0.0914426938523324,0.7437956956029245,0.15528781793842034
Firefox Build System,0.018481848184818482,0.039603960396039604,0.6567656765676567,0.2851485148514851
Firefox Graveyard,0.0,0.17857142857142858,0.7182539682539683,0.10317460317460317
Firefox Health Report Graveyard,0.0,0.0,1.0,0.0
Firefox OS Graveyard,0.045112781954887216,0.03007518796992481,0.924812030075188,0.0
Firefox for Android,0.010590858416945374,0.24972129319955408,0.5072463768115942,0.23244147157190637
Firefox for Android Graveyard,0.05630630630630631,0.04504504504504504,0.8761261261261262,0.02252252252252252
Firefox for FireTV Graveyard,0.0,0.0,1.0,0.0
Firefox for Metro Graveyard,0.0,0.0,1.0,0.0
Firefox for iOS,0.0,0.0,0.96,0.04
Focus,0.02631578947368421,0.2236842105263158,0.5,0.25
Focus-iOS,0.0,0.0,1.0,0.0
GeckoView,0.01405152224824356,0.1358313817330211,0.7213114754098361,0.1288056206088993
GeckoView Graveyard,0.0,0.03125,0.875,0.09375
Hello (Loop),0.0,0.0,1.0,0.0
Infrastructure & Operations,0.003816793893129771,0.015267175572519083,0.9732824427480916,0.007633587786259542
Infrastructure & Operations Graveyard,0.03787878787878788,0.0,0.9621212121212122,0.0
Invalid Bugs,0.0,0.0,1.0,0.0
L20n,0.0,0.0,1.0,0.0
Localization Infrastructure and Tools,0.0,0.0,0.9333333333333333,0.06666666666666667
Location,0.0,0.0,1.0,0.0
Lockwise Graveyard,0.0,0.0,1.0,0.0
MailNews Core,0.09461663947797716,0.1598694942903752,0.6508972267536705,0.09461663947797716
MailNews Core Graveyard,0.0,0.0,1.0,0.0
Marketing,0.0,0.0,1.0,0.0
Marketplace Graveyard,0.0,0.0,1.0,0.0
Minimo Graveyard,0.0,0.0,1.0,0.0
Mozilla Labs,0.0,0.0,1.0,0.0
Mozilla Labs Graveyard,1.0,0.0,0.0,0.0
Mozilla Localizations,0.0,0.0,0.9767441860465116,0.023255813953488372
Mozilla Metrics,0.0,0.0,1.0,0.0
Mozilla QA Graveyard,0.0,0.0,1.0,0.0
Mozilla Reps Graveyard,0.0,0.25,0.75,0.0
NSPR,0.03333333333333333,0.0,0.8333333333333334,0.13333333333333333
NSS,0.021739130434782608,0.0391304347826087,0.591304347826087,0.34782608695652173
Other Applications,0.0,0.0,1.0,0.0
Other Applications Graveyard,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.05555555555555555
Participation Infrastructure,0.0,0.0,1.0,0.0
Penelope Graveyard,0.0,1.0,0.0,0.0
Pocket,0.0,0.0,1.0,0.0
Product Innovation,0.0,0.0,1.0,0.0
Release Engineering,0.053738317757009345,0.1191588785046729,0.75,0.07710280373831775
Release Engineering Graveyard,0.0,0.0,0.9230769230769231,0.07692307692307693
Remote Protocol,0.005517241379310344,0.011034482758620689,0.7682758620689655,0.21517241379310345
Rhino Graveyard,0.0,0.0,1.0,0.0
SeaMonkey,0.09080325960419092,0.07450523864959255,0.7962747380675204,0.03841676367869616
Shield,0.0,0.10714285714285714,0.8928571428571429,0.0
Socorro,0.006172839506172839,0.0,0.9938271604938271,0.0
Taskcluster,0.0106951871657754,0.0053475935828877,0.9786096256684492,0.0053475935828877
Tech Evangelism Graveyard,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285
Tecken,0.0,0.0,1.0,0.0
Testing,0.007478188616535106,0.09098462816784379,0.7320315745741587,0.1695056086414624
Testing Graveyard,0.0,0.0,1.0,0.0
Thunderbird,0.032615026208503206,0.09202096680256261,0.6173558532323821,0.2580081537565521
Toolkit,0.011545526108632905,0.08370506428758856,0.7265809498819208,0.17816845972185777
Toolkit Graveyard,0.0,0.0782608695652174,0.8260869565217391,0.09565217391304348
