version,S1,S2,S3,S4
---,0.03888888888888889,0.011111111111111112,0.95,0.0
0.1,0.0,1.0,0.0,0.0
1.0,0.16666666666666666,0.0,0.8333333333333334,0.0
1.0 Branch,0.2,0.13333333333333333,0.6666666666666666,0.0
1.4,0.0,0.0,1.0,0.0
1.5,0.0,0.0,1.0,0.0
1.5.0.x Branch,0.0,1.0,0.0,0.0
1.7 Branch,0.25,0.25,0.5,0.0
1.7R1,0.0,0.0,1.0,0.0
1.8 Branch,0.125,0.075,0.8,0.0
1.8.0 Branch,0.0,0.0,0.6666666666666666,0.3333333333333333
1.9.0 Branch,0.0,0.25,0.75,0.0
1.9.1 Branch,0.0625,0.0,0.9375,0.0
1.9.2 Branch,0.4,0.2,0.4,0.0
1.x,0.0,0.0,1.0,0.0
10 Branch,0.0,0.3333333333333333,0.6666666666666666,0.0
11 Branch,0.0,0.0,1.0,0.0
12 Branch,0.0,0.0,1.0,0.0
13,1.0,0.0,0.0,0.0
13 Branch,0.0,0.25,0.75,0.0
14 Branch,0.0,0.2,0.8,0.0
15 Branch,0.06666666666666667,0.0,0.9333333333333333,0.0
16,1.0,0.0,0.0,0.0
16 Branch,0.0,0.0,1.0,0.0
17 Branch,0.14285714285714285,0.0,0.8571428571428571,0.0
18 Branch,0.05,0.05,0.85,0.05
19 Branch,0.07142857142857142,0.07142857142857142,0.8333333333333334,0.023809523809523808
2.0,0.0,0.0,1.0,0.0
2.0 Branch,0.0,0.09523809523809523,0.8095238095238095,0.09523809523809523
2.10,0.6666666666666666,0.0,0.3333333333333333,0.0
2.13,0.0,0.0,1.0,0.0
2.15,0.0,0.0,1.0,0.0
2.18,0.0,1.0,0.0,0.0
2.19.1,0.0,0.0,1.0,0.0
2.21,0.0,0.0,1.0,0.0
20 Branch,0.07692307692307693,0.038461538461538464,0.8846153846153846,0.0
2014-Q2,0.0,0.0,1.0,0.0
21 Branch,0.09090909090909091,0.0,0.9090909090909091,0.0
22 Branch,0.09090909090909091,0.045454545454545456,0.8636363636363636,0.0
23 Branch,0.05,0.05,0.9,0.0
24,0.0,0.0,1.0,0.0
24 Branch,0.0,0.07407407407407407,0.8888888888888888,0.037037037037037035
25 Branch,0.0,0.06666666666666667,0.9333333333333333,0.0
