,0
alias,92313
assigned_to,0
attachments_count,0
blocks_count,0
cc_count,0
cf_a11y_review_project_flag,19852
cf_accessibility_severity,3529
cf_cab_review,0
cf_crash_signature,91374
cf_fx_iteration,0
cf_fx_points,0
cf_has_str,17958
cf_has_str_flag,91404
cf_last_resolved,35
cf_performance_impact,18386
cf_qa_whiteboard,88545
cf_rank,93577
cf_user_story,93039
cf_webcompat_priority,18761
classification,0
code_fence_count,0
comment_count,0
component,0
creation_time,0
creator,0
days_open_est,0
depends_on_count,0
desc_len,0
description,5358
dupe_of,94030
duplicates_count,0
has_stacktrace,0
id,0
is_open,0
is_open_flag,0
keywords,65407
last_change_time,0
op_sys,0
platform,0
priority_raw,0
product,0
qa_contact,89393
regressed_by_count,0
regressions_count,0
resolution,0
see_also_count,0
severity_raw,9607
status,0
summary,0
summary_len,0
target_milestone,0
type,0
url,71314
url_count,0
version,0
votes,0
whiteboard,50209
severity_norm,31423
priority_norm,21349
desc_lines,0
desc_words,0
desc_unique_words,0
desc_paragraphs,0
duplicate_ratio,0
comment_density,0
attachment_ratio,0
block_dependency_ratio,0
has_crash_sig,0
crash_sig_len,0
crash_kw_score,0
severity_kw_score,0
embedding,0
topic_A_clean,0
topic_B_clean,0
