op_sys,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
AIX,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,0.5497124899705804,0.0010698047606311847,0.005549612195774272,0.035504145493447443,6.686279753944904e-05,0.0035771596683605244,0.00280823749665686,0.0018052955335651243,3.343139876972452e-05,0.0002674511901577962,0.0026410805028082374,0.0003008825889275207,0.0013706873495587055,0.0014375501470981545,0.0007354907729339395,0.013339128109120085,0.0007354907729339395,0.0011032361594009094,0.004312650441294464,0.004145493447445841,0.0034100026745119017,0.00043460818400641884,0.001136667558170634,0.013272265311580636,0.0087255950788981,0.0007354907729339395,0.00010029419630917357,0.0010363733618614602,0.010831773201390745,0.002941963091735758,0.006452259962556833,0.0011032361594009094,0.010029419630917358,0.0007354907729339395,0.0024070607114201658,0.006151377373629313,0.0006686279753944905,0.0011032361594009094,0.00280823749665686,0.0020727467237229204,0.0002340197913880717,0.004112062048676117,0.0003008825889275207,0.005883926183471516,0.0019390211286440225,0.001470981545867879,0.00036774538646696975,0.0002340197913880717,0.00020058839261834715,0.014074618882054026,0.0015378443434073282,0.00020058839261834715,0.01611393420700722,0.0009026477667825622,0.008525006686279753,0.000702059374164215,0.0006017651778550414,0.001136667558170634,0.0030756886868146564,0.00033431398769724526,0.0008692163680128377,0.0015712757421770527,0.012202460550949451,0.008391281091200856,0.004178924846215566,0.00033431398769724526,0.0002674511901577962,0.0018721583311045735,0.0020058839261834715,0.0006351965766247659,0.0017718641347953998,0.0018721583311045735,0.002306766515110992,0.00738833912810912,0.006218240171168761,0.0036774538646696976,0.0030422572880449317,0.002340197913880717,0.009293928857983419,0.004412944637603638,6.686279753944904e-05,0.009494517250601766,0.00020058839261834715,0.0002340197913880717,0.00010029419630917357,0.004747258625300883,0.0021396095212623694,0.028416688954265846,0.046803958277614334,0.0031091200855843807,0.002340197913880717,0.006218240171168761,0.0072546135330302216,0.0016715699384862264,0.0016715699384862264,0.037877774806097886,0.0043795132388339125
Android,0.5344827586206896,0.0037893141341417205,0.00018946570670708602,0.0,0.00037893141341417203,0.0011367942402425162,0.00037893141341417203,0.0015157256536566881,0.027851458885941646,0.0,0.03296703296703297,0.0005683971201212581,0.025198938992042442,0.0,0.0015157256536566881,0.00018946570670708602,0.001326259946949602,0.0015157256536566881,0.00018946570670708602,0.00037893141341417203,0.004547176960970065,0.00037893141341417203,0.0017051913603637742,0.00018946570670708602,0.0011367942402425162,0.0,0.00018946570670708602,0.00037893141341417203,0.00037893141341417203,0.003220917014020462,0.0007578628268283441,0.008525956801818871,0.022167487684729065,0.003220917014020462,0.0024630541871921183,0.010610079575596816,0.002652519893899204,0.0,0.0,0.031072375899962108,0.009283819628647215,0.0024630541871921183,0.013073133762788935,0.00018946570670708602,0.00037893141341417203,0.0,0.0007578628268283441,0.0007578628268283441,0.0,0.05627131489200455,0.00037893141341417203,0.0,0.00018946570670708602,0.0007578628268283441,0.021220159151193633,0.0024630541871921183,0.0009473285335354301,0.0007578628268283441,0.014588859416445624,0.0,0.00018946570670708602,0.00018946570670708602,0.00018946570670708602,0.0,0.0,0.0,0.002652519893899204,0.002652519893899204,0.0018946570670708603,0.006631299734748011,0.00018946570670708602,0.0,0.00037893141341417203,0.0,0.0,0.004357711254262978,0.0018946570670708603,0.00037893141341417203,0.0007578628268283441,0.009473285335354301,0.004547176960970065,0.023114816218264493,0.00037893141341417203,0.001326259946949602,0.0009473285335354301,0.012125805229253505,0.0,0.0,0.00018946570670708602,0.010231148162182645,0.03372489579386131,0.0,0.00037893141341417203,0.02482000757862827,0.004547176960970065,0.0,0.00018946570670708602
BeOS,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FreeBSD,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonk (Firefox OS),0.5853658536585366,0.010452961672473868,0.0,0.0,0.0,0.0,0.003484320557491289,0.0,0.0,0.0,0.006968641114982578,0.0,0.003484320557491289,0.0,0.0,0.0,0.0,0.017421602787456445,0.0,0.0,0.08013937282229965,0.006968641114982578,0.013937282229965157,0.0,0.013937282229965157,0.003484320557491289,0.0,0.003484320557491289,0.003484320557491289,0.013937282229965157,0.0,0.0,0.10104529616724739,0.006968641114982578,0.003484320557491289,0.003484320557491289,0.0,0.0,0.0,0.010452961672473868,0.003484320557491289,0.017421602787456445,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.013937282229965157,0.006968641114982578,0.0,0.0,0.0,0.017421602787456445,0.0,0.0,0.0,0.0,0.0,0.003484320557491289,0.006968641114982578,0.0,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003484320557491289,0.020905923344947737,0.0,0.0,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0
HP-UX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRIX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linux,0.4515086206896552,0.005028735632183908,0.0028735632183908046,0.0,0.0,0.00035919540229885057,0.0010775862068965517,0.002514367816091954,0.0,0.0,0.0021551724137931034,0.00035919540229885057,0.011494252873563218,0.0017959770114942528,0.00610632183908046,0.00035919540229885057,0.005028735632183908,0.0010775862068965517,0.0007183908045977011,0.0,0.010416666666666666,0.00035919540229885057,0.004310344827586207,0.0,0.01221264367816092,0.0,0.0,0.0017959770114942528,0.008261494252873564,0.014367816091954023,0.0,0.0010775862068965517,0.017600574712643677,0.0017959770114942528,0.0007183908045977011,0.00035919540229885057,0.0010775862068965517,0.0017959770114942528,0.002514367816091954,0.00035919540229885057,0.00035919540229885057,0.005387931034482759,0.0010775862068965517,0.011135057471264368,0.0305316091954023,0.05172413793103448,0.0,0.0010775862068965517,0.00035919540229885057,0.07686781609195402,0.0010775862068965517,0.00035919540229885057,0.0007183908045977011,0.00035919540229885057,0.015086206896551725,0.004310344827586207,0.0,0.00035919540229885057,0.003232758620689655,0.0007183908045977011,0.0035919540229885057,0.00610632183908046,0.0,0.0,0.0,0.0,0.00035919540229885057,0.005747126436781609,0.011494252873563218,0.0007183908045977011,0.00035919540229885057,0.0021551724137931034,0.15014367816091953,0.0010775862068965517,0.0,0.003232758620689655,0.005747126436781609,0.00610632183908046,0.0021551724137931034,0.0017959770114942528,0.0,0.004310344827586207,0.00035919540229885057,0.0007183908045977011,0.0,0.00610632183908046,0.002514367816091954,0.00035919540229885057,0.0,0.003951149425287357,0.0028735632183908046,0.0,0.0,0.0014367816091954023,0.00035919540229885057,0.0,0.0
Mac System 8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
