platform,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
ARM,0.5086705202312138,0.005780346820809248,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0038535645472061657,0.0,0.0,0.0019267822736030828,0.0038535645472061657,0.1329479768786127,0.0,0.0,0.0,0.0019267822736030828,0.011560693641618497,0.0019267822736030828,0.0,0.055876685934489405,0.0038535645472061657,0.007707129094412331,0.0,0.007707129094412331,0.0,0.0,0.0,0.0019267822736030828,0.007707129094412331,0.0,0.0,0.09248554913294797,0.0038535645472061657,0.0038535645472061657,0.005780346820809248,0.0,0.0,0.0,0.007707129094412331,0.0019267822736030828,0.015414258188824663,0.0038535645472061657,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0,0.03275529865125241,0.0038535645472061657,0.0,0.0019267822736030828,0.0,0.009633911368015413,0.0019267822736030828,0.0,0.0,0.0019267822736030828,0.0,0.0019267822736030828,0.005780346820809248,0.0,0.0019267822736030828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019267822736030828,0.0019267822736030828,0.0,0.0,0.005780346820809248,0.007707129094412331,0.0,0.0,0.0019267822736030828,0.0,0.015414258188824663,0.0,0.0,0.0,0.0019267822736030828,0.0,0.0,0.0,0.0019267822736030828,0.0038535645472061657,0.0,0.0,0.0,0.0,0.0,0.0
ARM64,0.548,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.008,0.0,0.032,0.0,0.004,0.0,0.012,0.004,0.0,0.0,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.008,0.012,0.0,0.0,0.0,0.0,0.0,0.004,0.104,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.004,0.0,0.008,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
All,0.5553590817434466,0.001209865053513262,0.005366837288661393,0.032945556072591906,0.00012408872343725764,0.0006204436171862882,0.0007135101597642315,0.001427020319528463,0.004467194043741275,0.00015511090429657206,0.006793857608189856,0.0003102218085931441,0.0014580425003877773,0.0014580425003877773,0.0008686210640608035,0.012408872343725764,0.0007755545214828603,0.0012719094152318909,0.004001861330851559,0.003908794788273616,0.003319373351946642,0.00040328835117108735,0.001209865053513262,0.012346827982007135,0.007135101597642315,0.0006514657980456026,9.306654257794323e-05,0.0011167985109353188,0.00998914223669924,0.0028850628199162402,0.005925236544129052,0.00210950829843338,0.009865053513261982,0.0009616876066387467,0.0022956413835892664,0.004870482394912362,0.0008065767023421747,0.00105475414921669,0.002171552660152009,0.004870482394912362,0.0015511090429657206,0.00393981696913293,0.0019233752132774935,0.004281060958585389,0.0018303086706995503,0.0013959981386691485,0.00040328835117108735,0.0002791996277338297,0.00015511090429657206,0.013959981386691484,0.0015200868621064061,0.00015511090429657206,0.015014735535908175,0.0007755545214828603,0.010268341864433069,0.0005894214363269738,0.00043431053203040176,0.001209865053513262,0.003970839149992245,0.0002791996277338297,0.0008686210640608035,0.0017062199472622926,0.011354118194509074,0.007817589576547232,0.0038777726074143014,0.0003412439894524585,0.0006514657980456026,0.001737242128121607,0.002264619202729952,0.0011788428726539476,0.0016751977664029782,0.0014580425003877773,0.0028850628199162402,0.006886924150767799,0.0057701256398324805,0.003474484256243214,0.002854040639056926,0.0014580425003877773,0.008500077555452148,0.002047463936714751,0.0008065767023421747,0.009461765162090895,0.0002481774468745153,0.00043431053203040176,0.00015511090429657206,0.005615014735535908,0.0019233752132774935,0.02636885373041725,0.043493097564758804,0.003629595160539786,0.006607724523033969,0.005739103458973166,0.006793857608189856,0.005118659841786877,0.001892353032418179,0.03514813091360323,0.004094927873429502
DEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desktop,0.49864314789687925,0.003618272274988693,0.0,0.0,0.0,0.039122568973315244,0.0203527815468114,0.004296698326549073,0.0,0.0009045680687471732,0.008141112618724558,0.0002261420171867933,0.07892356399819087,0.0006784260515603799,0.0065581184984170055,0.0006784260515603799,0.0018091361374943465,0.0011307100859339666,0.0,0.0009045680687471732,0.007010402532790593,0.0,0.0024875621890547263,0.0,0.009497964721845319,0.0004522840343735866,0.0,0.0002261420171867933,0.0009045680687471732,0.013342379014020805,0.0006784260515603799,0.0020352781546811396,0.023292627770239712,0.001582994120307553,0.002939846223428313,0.02103120759837178,0.0006784260515603799,0.0,0.0027137042062415195,0.0004522840343735866,0.0,0.0020352781546811396,0.0006784260515603799,0.0024875621890547263,0.0,0.0009045680687471732,0.0004522840343735866,0.0009045680687471732,0.0,0.024197195838986885,0.0,0.0002261420171867933,0.0006784260515603799,0.0011307100859339666,0.009497964721845319,0.0009045680687471732,0.0002261420171867933,0.0002261420171867933,0.011759384893713252,0.0002261420171867933,0.0011307100859339666,0.0006784260515603799,0.0004522840343735866,0.0004522840343735866,0.0002261420171867933,0.0002261420171867933,0.0006784260515603799,0.004522840343735866,0.003618272274988693,0.009045680687471733,0.0,0.0,0.0004522840343735866,0.0002261420171867933,0.0,0.011533242876526458,0.0067842605156037995,0.008819538670284939,0.0020352781546811396,0.04454997738579828,0.0,0.023518769787426504,0.0,0.0004522840343735866,0.0002261420171867933,0.028267752148349163,0.0004522840343735866,0.0009045680687471732,0.0002261420171867933,0.010402532790592492,0.011759384893713252,0.0002261420171867933,0.0,0.012211668928086838,0.004070556309362279,0.0,0.0
HP,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.4357142857142857,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.0,0.02142857142857143,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03214285714285714,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.014285714285714285,0.0,0.0035714285714285713,0.017857142857142856,0.0035714285714285713,0.0035714285714285713,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.1392857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0035714285714285713,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.0,0.025,0.03571428571428571,0.0,0.0,0.010714285714285714,0.0,0.0035714285714285713,0.0,0.0035714285714285713,0.0,0.0035714285714285713,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.007142857142857143,0.0035714285714285713,0.0,0.0,0.0035714285714285713,0.0035714285714285713,0.0,0.0
PowerPC,0.5654450261780105,0.0,0.015706806282722512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010471204188481676,0.0,0.0,0.0,0.05759162303664921,0.0,0.0,0.0,0.02617801047120419,0.020942408376963352,0.0,0.005235602094240838,0.02617801047120419,0.0,0.0,0.010471204188481676,0.0,0.0,0.0,0.0,0.0,0.020942408376963352,0.0,0.031413612565445025,0.0,0.0,0.0,0.005235602094240838,0.0,0.04712041884816754,0.0,0.005235602094240838,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.010471204188481676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010471204188481676,0.031413612565445025,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.020942408376963352,0.02617801047120419,0.0,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.005235602094240838,0.0,0.0,0.0,0.010471204188481676,0.015706806282722512,0.0,0.0,0.0,0.005235602094240838,0.0,0.0
RISCV64,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SGI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
