bug_id,severity,concept_scores
13093,S4,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.17597465 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
18508,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
35228,S3,"[0.         0.         0.         0.08191247 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         0.         0.        ]"
177175,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
181137,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
228448,S4,"[0.         0.         0.         0.17665912 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
253889,S3,"[0.12158557 0.         0.         0.17643955 0.         0.
 0.         0.16965847 0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.        ]"
275342,S4,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.22028579 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
277178,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19530486 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
312891,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
326701,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]
327074,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
332006,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
332175,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
333811,,"[0.         0.         0.         0.11501535 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.        ]"
344060,S3,"[0.08828927 0.         0.         0.17289913 0.14065549 0.
 0.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.         0.        ]"
350079,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
366374,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
369046,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
376129,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
377621,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
382477,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
390752,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
399396,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
412902,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
426177,S3,"[0.08038944 0.         0.         0.1998953  0.09486736 0.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.        ]"
430328,S3,"[0.20006832 0.208107   0.         0.27382988 0.1536464  0.
 0.         0.1917762  0.         0.         0.         1.
 0.         1.         0.         1.         0.         0.        ]"
441355,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
449045,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
482914,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
