topic_id,merged_from,total_size
0,[0],623
1,[1],371
2,"[2, 4]",463
3,[3],221
5,[5],202
6,[6],187
7,[7],184
8,[8],162
9,[9],154
10,[10],144
11,[11],128
12,[12],122
13,[13],119
14,[14],118
15,[15],115
16,[16],114
17,[17],104
18,[18],100
19,[19],97
20,[20],95
21,[21],94
22,[22],91
23,[23],85
24,[24],85
25,[25],81
26,[26],80
27,[27],76
28,[28],74
29,[29],72
30,[30],70
31,[31],68
32,[32],64
33,[33],64
34,[34],64
35,[35],63
36,[36],62
37,[37],61
38,[38],61
39,[39],61
40,[40],60
41,[41],57
42,[42],56
43,[43],54
44,[44],53
45,[45],52
46,[46],51
47,[47],50
48,[48],49
49,[49],47
50,[50],47
51,[51],47
52,[52],44
53,[53],44
54,[54],44
55,[55],43
56,[56],41
57,[57],41
58,[58],41
59,[59],39
60,[60],38
61,[61],37
62,[62],37
63,[63],37
64,[64],36
65,[65],36
66,[66],36
67,[67],35
68,[68],35
69,[69],35
70,[70],34
71,[71],34
72,[72],34
73,[73],33
74,[74],32
75,[75],32
76,[76],31
77,[77],31
78,[78],30
79,[79],30
80,[80],29
81,[81],29
82,[82],29
83,[83],29
84,[84],28
85,[85],27
86,[86],27
87,[87],26
88,[88],22
89,[89],22
90,[90],22
91,[91],21
92,[92],21
93,[93],21
94,[94],20
95,[95],20
